,ACCIDENTDATE,XMLIMPORTNOTES,ACCIDENT_WEEKDAY_Friday,ACCIDENT_WEEKDAY_Monday,ACCIDENT_WEEKDAY_Saturday,ACCIDENT_WEEKDAY_Sunday,ACCIDENT_WEEKDAY_Thursday,ACCIDENT_WEEKDAY_Tuesday,ACCIDENT_WEEKDAY_Wednesday,ACCIDENTLOCATION_At intersection,ACCIDENTLOCATION_At railway crossing,ACCIDENTLOCATION_At/near private drive,ACCIDENTLOCATION_Intersection related,ACCIDENTLOCATION_Non intersection,ACCIDENTLOCATION_Overpass or bridge,ACCIDENTLOCATION_Underpass or tunnel,LIGHT_Dark,"LIGHT_Dark, artificial",LIGHT_Dawn,"LIGHT_Dawn, artificial",LIGHT_Daylight,"LIGHT_Daylight, artificial",LIGHT_Dusk,"LIGHT_Dusk, artificial",LIGHT_Unknown,LIGHT_nan,ROADJURISDICTION_County or district,ROADJURISDICTION_Municipal (excl. Twp. Rd.),ROADJURISDICTION_Private property,ROADJURISDICTION_Regional municipality,ROADJURISDICTION_Township,ROADJURISDICTION_unknown,TRAFFICCONTROL_No control,TRAFFICCONTROL_Ped. crossover,TRAFFICCONTROL_Police control,TRAFFICCONTROL_School bus,TRAFFICCONTROL_School guard,TRAFFICCONTROL_Stop sign,TRAFFICCONTROL_Traffic controller,TRAFFICCONTROL_Traffic gate,TRAFFICCONTROL_Traffic signal,TRAFFICCONTROL_Yield sign,TRAFFICCONTROL_unknown,TRAFFICCONTROLCONDITION_Functioning,TRAFFICCONTROLCONDITION_Missing/Damaged,TRAFFICCONTROLCONDITION_Not Applicable,TRAFFICCONTROLCONDITION_Not applicable,TRAFFICCONTROLCONDITION_Not functioning,TRAFFICCONTROLCONDITION_Obscured,ENVIRONMENTCONDITION1_Clear,ENVIRONMENTCONDITION1_Drifting Snow,"ENVIRONMENTCONDITION1_Fog, mist, smoke, dust",ENVIRONMENTCONDITION1_Freezing Rain,ENVIRONMENTCONDITION1_Rain,ENVIRONMENTCONDITION1_Snow,ENVIRONMENTCONDITION1_Strong wind
11,2015-01-06 02:42:00,HIGHLAND CR; WYCLIFFE PL; At,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2015-01-05 18:15:00,MAJOR ST,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,2015-01-06 21:54:00,BRYBECK CRES; KARN ST ; At; 10 M,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,2015-01-07 08:30:00,DEER RIDGE DR; MASTER CT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2015-01-07 10:08:00,PEQUEGNAT AVE ; MANSION ST ; Near; 3 M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,2015-01-07 10:17:00,STRASBURG RD; BLOCK LINE RD ; At; M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,2015-01-07 11:35:00,HURON RD; BATTLER RD; At,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2015-01-07 11:54:00,SENECA DR; 29 SENECA DR ; 1 M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2015-01-07 12:12:00,ST LEGER ST ; BREITHAUPT ST ; At,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,2015-01-07 09:54:00,REDTAIL ST,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
